 File has been used for this event: ps_category_lang.csv
 Type of the imported file: csv
 Revision of the which is used: 9
 Mode of event: Insert
 Total no of records: 42
 Rows handled on each iterations (Based on your server configuration): 1
 File used to import data into: post (Posts)
[2017-11-17 21:23:55] Message: Can't insert this post Categories: category 
[2017-11-17 21:23:56] Message: Can't insert this post Categories: category 
[2017-11-17 21:23:58] Message: Can't insert this post Categories: category 
[2017-11-17 21:23:58] Message: Can't insert this post Categories: category 
[2017-11-17 21:23:59] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:02] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:04] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:04] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:07] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:10] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:11] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:14] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:14] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:17] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:20] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:21] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:24] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:24] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:27] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:30] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:31] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:34] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:34] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:37] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:40] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:41] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:44] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:44] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:47] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:50] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:51] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:54] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:55] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:57] Message: Can't insert this post Categories: category 
[2017-11-17 21:24:59] Message: Can't insert this post Categories: category 
[2017-11-17 21:25:01] Message: Can't insert this post Categories: category 
[2017-11-17 21:25:04] Message: Can't insert this post Categories: category 
[2017-11-17 21:25:04] Message: Can't insert this post Categories: category 
[2017-11-17 21:25:07] Message: Can't insert this post Categories: category 
[2017-11-17 21:25:10] Message: Can't insert this post Categories: category 
[2017-11-17 21:25:11] Message: Can't insert this post Categories: category 
[2017-11-17 21:25:14] Message: Can't insert this post Categories: category 
