"id_category";"id_shop";"id_lang";"name";"description";"link_rewrite";"meta_title";"meta_keywords";"meta_description";"background_color"
"1";"1";"1";"Root";;"root";;;;
"2";"1";"1";"Home";;"home";;;;
"24";"1";"1";"Machine Vision & Factory Automation Lenses";;"Machine-Vision-And-Factory-Automation-Lenses";"Machine Vision & Factory Automation Lenses";"Machine Vision & Factory Automation Lenses";"Machine Vision & Factory Automation (FA & MV)";
"25";"1";"1";"CCTV Lenses";;"CCTV-Lenses";"CCTV Lenses";"CCTV Lenses";"CCTV Lenses";
"26";"1";"1";"4/3"" XC Series";"<p>4/3"" XC Series</p>";"XC-Series";"4/3"" XC Series";"4/3"" XC Series";"4/3"" XC Series";"#999900"
"27";"1";"1";"2/3"" 10MP JC10M Series";"2/3"" 10MP JC10M Series";"10MP-JC10M-Series";"2/3"" 10MP JC10M Series";"2/3"" 10MP JC10M Series";"2/3"" 10MP JC10M Series";
"28";"1";"1";"2/3"" 5MP Plus JC5M2 Series";"<p>2/3"" 5MP Plus JC5M2 Series</p>";"5MP-Plus-JC5M2-Series";"2/3"" 5MP Plus JC5M2 Series";"2/3"" 5MP Plus JC5M2 Series";"2/3"" 5MP Plus JC5M2 Series";
"29";"1";"1";"Wide Angle Megapixel NCM Series";"Wide Angle Megapixel NCM Series";"Wide-Angle-Megapixel-NCM-Series";"Wide Angle Megapixel NCM Series";"Wide Angle Megapixel NCM Series";"Wide Angle Megapixel NCM Series";
"30";"1";"1";"2/3"" JCM Series";"2/3"" JCM Series";"JCM-Series";"2/3"" JCM Series";"2/3"" JCM Series";"2/3"" JCM Series";
"31";"1";"1";"1"" HC Series";"<p>1"" HC Series</p>";"HC-Series";"1"" HC Series";"1"" HC Series";"1"" HC Series";
"32";"1";"1";"2/3"" JC Series";"2/3"" JC Series";"JC-Series";"2/3"" JC Series";"2/3"" JC Series";"2/3"" JC Series";
"33";"1";"1";"1/2"" NCL Series";"1/2"" NCL Series";"NCL-Series";"1/2"" NCL Series";"1/2"" NCL Series";"1/2"" NCL Series";
"34";"1";"1";"Varifocal Lens";"Varifocal Lens";"Varifocal-Lens";"Varifocal Lens";"Varifocal Lens";"Varifocal Lens";
"35";"1";"1";"1"" SWIR HC-SW Series";"<p>1"" SWIR HC-SW Series</p>";"SWIR-HC-SW-Series";"1"" SWIR HC-SW Series";"1"" SWIR HC-SW Series";"1"" SWIR HC-SW Series";
"36";"1";"1";"Large Format NIR Series";"Large Format NIR Series";"Large-Format-NIR-Series";"Large Format NIR Series";"Large Format NIR Series";"Large Format NIR Series";
"37";"1";"1";"1/3"" NF-Mount NF Series";"1/3"" NF-Mount NF Series";"NF-Mount-NF-Series";"1/3"" NF-Mount NF Series";"1/3"" NF-Mount NF Series";"1/3"" NF-Mount NF Series";
"38";"1";"1";"Φ46 LF Series";"<p>Φ46 LF Series</p>";"46-lf-series";"&Phi;46 LF Series";"&Phi;46 LF Series";"&Phi;46 LF Series";
"39";"1";"1";"Φ30 CLS Series";"<p>Φ30 CLS Series</p>";"30-cls-series";"&Phi;30 CLS Series";"&Phi;30 CLS Series";"&Phi;30 CLS Series";
"40";"1";"1";"1/2"" 3CCD NC3 Series";"1/2"" 3CCD NC3 Series";"3CCD-NC3-Series";"1/2"" 3CCD NC3 Series";"1/2"" 3CCD NC3 Series";"1/2"" 3CCD NC3 Series";
"41";"1";"1";"Telecentric Lenses";"Telecentric Lenses";"Telecentric-Lenses";"Telecentric Lenses";"Telecentric Lenses";"Telecentric Lenses";
"42";"1";"1";"Macro Zoom Lenses";"Macro Zoom Lenses";"Macro-Zoom-Lenses";"Macro Zoom Lenses";"Macro Zoom Lenses";"Macro Zoom Lenses";
"43";"1";"1";"Zoom Day & Night Megapixel Lenses";"<p>Zoom Day &amp; Night Megapixel Lenses</p>";"Zoom-Day-And-Night-Megapixel-Lenses";"Zoom Day & Night Megapixel Lenses";"Zoom Day & Night Megapixel Lenses";"Zoom Day & Night Megapixel Lenses";"#677064"
"44";"1";"1";"Zoom Megapixel Lenses";"<p>Zoom Megapixel Lenses</p>";"Zoom-Megapixel-Lenses";"Zoom Megapixel Lenses";"Zoom Megapixel Lenses";"Zoom Megapixel Lenses";"#859393"
"45";"1";"1";"Zoom SWIR Lenses";"<p>Zoom SWIR Lenses</p>";"Zoom-SWIR-Lenses";"Zoom SWIR Lenses";"Zoom SWIR Lenses";"Zoom SWIR Lenses";"#99909a"
"46";"1";"1";"Zoom High Resolution Lenses";"<p>Zoom High Resolution Lenses</p>";"Zoom-High-Resolution-Lenses";"Zoom High Resolution Lenses";"Zoom High Resolution Lenses";"Zoom High Resolution Lenses";"#845a5a"
